Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0035297654,0.18617919,44.73649,52.893898,271.96002,16.21329,-3.9949737,-0.00207269,0.0024009729,0.0043368135,-0.011300324,0.004458833,0.003337549,0.013254821,-0.005886555,-4.018923,0.53762656,-1.9602655,-6.8702383,-0.00081612496,0.0011304404,0.0029125763,-0.00436589,0.0008988903,0.0009804922,0.0050379476,-0.0021350654,-272.2737416748354,-271.08028874693554,-232.30638489105226,4000,404000,0,1827.182734692993,0,348.2440969841409,2175.426831677134,2218.8095241961128,0
0.13050565,0.8058732,36.798668,36.95515,45.020775,5.1160336,70.55328,-76.87671,50.93107,0.19226372,-219.20743,-70.6894,50.161503,2.1431744,-210.0744,-2.3784664,1.9127007,7.175091,-14.093399,0.16739105,0.5816025,1.9582741,-1.7933567,-0.31786188,0.13946782,0.025588334,-0.8375113,-233.09768521779333,-232.01734932491212,-209.41747273905105,8000,408000,0,1832.1702827069967,43.38285564900434,3.8450151169963647,1879.3981534729974,4097.621500331108,1
0.16696756,0.808854,42.155926,42.253742,55.958984,7.159818,87.88805,-94.41488,97.230286,10.919004,-366.67435,-88.24585,96.716576,14.322389,-361.58807,-2.1127908,2.0927134,8.501347,-11.291967,0.06256701,0.6165463,2.2573278,-2.0974603,-0.388858,0.19950059,0.37837625,-1.153093,-140.12440552042315,-141.33596029139736,-139.07999600033438,12000,412000,0,1830.4108709160064,42.79860484300298,4.05468434903014,1877.2641601080395,5972.7300510901405,2
0.21326761,0.7763781,47.926178,47.96622,67.23062,13.605269,170.94722,-177.78917,130.35748,23.982903,-490.48306,-172.41267,130.89331,26.734066,-489.41034,-1.5681256,2.2937996,8.011931,-12.036602,-0.025051735,0.7082051,2.1801975,-2.3522992,-0.41974333,0.23093769,0.300735,-1.6315618,-105.10190701105851,-104.46884718963959,-109.66984179333191,16000,416000,0,1829.2341400349978,40.64295482700982,4.18981887101836,1874.066913733026,7850.986281803169,3
0.022924993,0.790161,48.82386,48.89525,46.213047,10.2755995,162.65552,-170.90782,153.52446,45.94219,-545.479,-163.74878,151.8863,48.82243,-531.91376,-1.5575262,2.3483212,9.906059,-11.992581,-2.6100195e-06,0.71257937,2.2959533,-2.2979355,-0.4102839,0.231706,0.18014184,-1.6885134,-96.73759510398465,-94.20324497602772,-96.2675166385525,20000,420000,0,1830.8522238639998,44.83045046799816,3.8933795079792617,1879.5760538399772,9727.869050452136,4
0.12712254,0.7878901,47.800858,47.87796,59.33168,33.658245,191.79446,-198.75453,174.3418,57.221798,-723.6456,-195.47186,175.01926,60.026928,-735.5143,-1.5363963,2.298162,7.8964014,-12.116637,-0.011110439,0.7042044,2.3513467,-2.2229166,-0.4261605,0.2394576,0.08285485,-1.751801,-82.02600979784106,-77.94613084023175,-79.179750335285,24000,424000,0,1826.6539034929883,42.13712201701128,3.629563830967527,1872.4205893409671,11599.095619328116,5
0.10836978,0.7948053,49.098976,49.153942,45.588493,12.179376,166.64607,-174.5853,195.7912,66.41008,-845.0582,-168.03922,194.99823,70.81525,-850.3569,-1.9404458,2.1656618,8.01612,-11.7969265,-0.02267775,0.63902164,2.386302,-2.237383,-0.41695383,0.2317295,0.1824821,-1.7896405,-75.36434136395971,-73.12349013604931,-76.49870564890243,28000,428000,0,1827.7858287070121,40.9430416039977,3.619860153979971,1872.3487304649898,13475.838602072079,6
0.22011173,0.7934598,47.686646,47.790028,37.418114,8.792255,125.52654,-132.31125,205.0877,79.76783,-835.32886,-125.11894,202.78494,82.61652,-834.42487,-2.2425005,2.160214,10.09281,-10.513311,-0.01467098,0.59812737,2.3987534,-2.1634867,-0.37502396,0.22751302,0.31257674,-1.7962106,-78.73146504973563,-80.3327697080853,-75.20159424064724,32000,432000,0,1833.696580599004,45.33747454699187,3.903475195969804,1882.9375303419656,15357.385470997091,7
0.083440065,0.8034412,50.48825,50.571884,41.019073,8.166376,197.4983,-204.33408,215.67728,71.42051,-985.30347,-197.47716,213.678,74.20947,-990.1395,-1.9757321,2.1086016,9.083349,-11.78365,-0.039445635,0.6271577,2.338413,-2.204879,-0.42729858,0.22370552,0.10498831,-1.8379475,-72.95413819851815,-74.13797621865423,-74.11511564851386,36000,436000,0,1829.657645497995,43.94640429801075,4.477530528994976,1878.0815803250007,17232.72050331709,8
0.25915527,0.7960303,45.393253,45.457466,28.51385,7.850344,76.98413,-82.33723,153.78648,77.520676,-536.2594,-77.02958,153.84654,83.590675,-538.5506,-2.3385017,1.939503,8.456869,-11.434297,0.033198703,0.5582591,2.3103454,-2.081881,-0.41501763,0.21734245,0.12883717,-2.0735114,-65.8594964654118,-66.76794718922092,-66.25712812667581,40000,440000,0,1836.1621426890051,41.19983911899908,4.0978241469711065,1881.4598059549753,19117.468354241064,9
0.15190485,0.80794686,44.106575,44.154896,34.490574,10.149786,145.94804,-153.57692,137.30159,76.53741,-743.49786,-146.33234,135.64334,77.86495,-755.4868,-1.8206489,2.1650424,9.133589,-11.633101,-0.019397663,0.65253454,2.6020346,-2.290695,-0.43936232,0.22709875,0.32515773,-1.797704,-68.86062792846941,-69.85268265811607,-63.098586566262526,44000,444000,0,1833.3117184150033,44.48940469199442,4.410729364986764,1882.2118524719845,20998.59413377603,10
0.029286176,0.7782065,43.775322,43.84404,29.458582,7.2801747,78.48793,-84.88246,187.68892,98.62101,-1065.9056,-79.078606,186.00005,102.525665,-1065.8208,-2.4218392,1.9184679,13.035585,-11.395455,0.018476898,0.54772705,2.4346266,-2.5641918,-0.39302477,0.22193933,0.19022158,-1.9554573,-54.955597272556105,-59.057346333722826,-59.847800544626,48000,448000,0,1841.5263194559957,43.40290683899366,4.1590803830185905,1889.088306678008,22883.381261018032,11
0.054696213,0.7560638,46.57129,46.652813,38.927055,20.920622,163.54625,-171.66656,207.49013,115.16307,-966.5132,-166.54445,204.74586,114.98926,-964.17773,-1.9502969,2.244329,13.308207,-11.11094,-0.012257915,0.62856966,2.7463267,-2.597344,-0.42751098,0.24128522,0.1856665,-2.1576905,-60.53991718321741,-61.610010208772245,-56.80851990500479,52000,452000,0,1817.7651870090049,39.10135771399655,3.6252928719768533,1860.4918375949783,24748.644511441,12
0.054975726,0.7870297,47.419117,47.480473,29.312075,9.195484,126.43788,-133.3261,187.10797,113.93777,-1060.6791,-125.16393,184.76834,117.78035,-1054.9237,-2.068647,2.1453714,13.207001,-11.169725,-0.026853638,0.60843575,3.3072956,-2.9723916,-0.4243602,0.22917764,0.18385172,-1.8750772,-54.50811789722911,-55.97394353516076,-55.255306761124125,56000,456000,0,1811.0916142139904,43.8745113890036,3.8831594140501693,1858.8492850170442,26608.62186566103,13
0.14653537,0.7991364,50.006172,50.06849,41.803688,13.405161,235.94386,-244.49571,212.71806,110.4485,-1047.1931,-236.74236,211.87444,113.09741,-1053.8448,-1.4374616,2.4228394,12.521941,-11.131265,-0.055645723,0.7078511,2.6468139,-2.556229,-0.45475122,0.25851962,0.07822801,-2.2128868,-46.69683155920754,-47.347193493727055,-51.67617545413045,60000,460000,0,1814.6042462740006,45.00187532999553,3.889700917978189,1863.4958225219743,28468.620248046995,14
0.19135,0.8031905,43.62018,43.6668,28.07654,15.020329,104.543686,-110.851,166.73445,92.78204,-857.96106,-105.5092,163.48956,94.67036,-848.0287,-2.180554,2.0397663,11.952485,-14.6548605,-0.017415086,0.58555347,2.5046508,-2.4844034,-0.4195838,0.23651542,0.28670132,-2.0818946,-53.49662602633644,-52.3790940186693,-50.059490002619036,64000,464000,0,1853.7622801839898,41.50365571799921,4.342956812964985,1899.608892714954,30371.258117292935,15
0.31782633,0.7868206,49.41716,49.533554,30.01191,10.10663,162.22198,-168.59067,214.51933,128.62917,-1205.1661,-160.92497,211.21175,131.86734,-1207.9496,-1.7952247,2.324586,19.825222,-12.688817,0.012186992,0.6556072,3.5468202,-2.6974049,-0.4386538,0.25348625,0.18625459,-2.226262,-46.43363042009228,-48.00053496437786,-51.25967566265793,68000,468000,0,1966.1772847009997,44.53258480799559,4.262302956019994,2014.9721724650153,32388.84851155596,16
0.12626038,0.78186065,50.154984,50.249725,31.17331,7.9825077,162.20908,-169.3784,231.02115,123.91335,-1317.7457,-161.78209,228.59685,126.85117,-1306.0569,-1.8267972,2.3301878,12.459255,-10.968138,-0.02386755,0.6451037,2.909963,-2.6499243,-0.44078636,0.24912074,0.21447784,-2.1772141,-45.45341998628823,-44.94283291988983,-46.391522482366796,72000,472000,0,1973.3540703790059,47.15081537500373,4.111871280052583,2024.6167570340622,34411.55582097701,17
0.34178028,0.81414425,46.230423,46.347763,20.538738,6.625294,64.50224,-70.39455,226.8302,129.35017,-1303.117,-65.04685,225.1807,131.39058,-1306.1433,-2.4235783,2.038429,14.724623,-9.91793,0.0047371793,0.54214793,2.6209207,-2.581676,-0.40124175,0.22458908,0.15136844,-2.11455,-49.72640268948994,-46.220405948185245,-45.30538337635287,76000,476000,0,1972.330998963007,45.24280603999796,3.9657136330060894,2021.539518636011,36434.60955056698,18
0.32816067,0.79193485,48.79308,48.846992,31.410833,10.281353,195.22673,-201.65495,207.10822,125.4139,-1098.5902,-195.5077,205.93102,127.79625,-1103.5992,-1.5851159,2.4388947,17.379486,-14.092577,-0.05569318,0.68593407,2.4440334,-2.8001997,-0.45143166,0.25715306,0.16242406,-2.1571565,-54.85249650255019,-55.10982774376121,-50.99022963043687,80000,480000,0,1980.931657816007,46.75802583900804,4.56828379399667,2032.2579674490116,38469.180093826,19
0.18092814,0.7886458,48.067787,48.12047,31.064621,11.171833,155.81837,-162.38182,228.78282,127.277176,-1136.2917,-156.812,226.17444,128.41084,-1133.6375,-1.8157252,2.387124,19.693768,-10.989347,-0.015048893,0.64751476,2.654019,-2.949674,-0.44086954,0.25609156,0.15754563,-2.0815296,-47.10187054234931,-44.96461330624918,-41.95951748400109,84000,484000,0,1974.2389091639925,49.06960854999488,4.7315993499796605,2028.040117063967,40492.41143795996,20
0.097918324,0.7873496,41.360977,41.4305,17.8334,8.751897,46.396187,-52.377995,131.21146,141.5293,-894.0786,-47.9285,129.2135,145.31497,-886.2718,-2.1563392,2.1392052,16.789663,-11.809079,-0.015092912,0.5826844,2.617681,-2.493902,-0.42980722,0.24509542,0.26144916,-2.1060333,-48.20129346400321,-47.669458114859346,-39.04087917611143,88000,488000,0,1972.8720229409955,44.26186780699936,4.017251881028642,2021.1511426290235,42516.586780756,21
0.030167501,0.79338706,41.15777,41.224995,22.412424,5.889511,60.071484,-65.886826,143.77573,130.94498,-788.59155,-60.58966,141.74141,133.78777,-792.95044,-2.18257,2.1783674,19.632778,-11.5307255,-0.0057169334,0.5773347,2.7565818,-2.8433833,-0.4377974,0.24084459,0.11280942,-2.0325773,-42.439765533652874,-41.089692464588815,-41.791857913549975,92000,492000,0,1973.7475389969914,47.28630165300274,4.0009117769950535,2025.0347524269891,44539.66160412801,22
0.24657972,0.78589714,45.867912,45.8992,27.701717,11.107891,137.02748,-144.72185,202.04665,100.64351,-1221.7924,-138.32129,199.58284,101.32192,-1220.4425,-1.7270086,2.4402564,21.35293,-10.858765,-0.018055173,0.65906787,3.1843617,-2.8778296,-0.45208198,0.25504184,0.118394375,-2.1724055,-40.58403672816636,-40.947961610289966,-39.55482718475438,96000,496000,0,1966.1050491310016,45.32709906299715,4.018734047014732,2015.4508822410135,46556.06559866502,23
0.05575193,0.7828511,43.65232,43.71848,21.940144,7.102397,134.74924,-140.45908,144.82976,38.92982,-1164.6737,-134.55339,143.52675,44.086872,-1156.9106,-1.6115655,2.2827098,21.645126,-12.287667,-0.10655441,0.6541835,3.5697322,-3.1529932,-0.48087898,0.25850663,0.19746478,-2.2302756,-39.467384063717596,-38.504740637499914,-43.564133361826336,100000,500000,0,1965.6906641710084,46.280954352012486,4.285179180980776,2016.2567977040017,48573.51127129204,24
0.14950643,0.81113833,39.274963,39.35195,21.79979,7.6053762,36.929073,-42.213127,126.36291,107.42028,-823.9106,-37.125217,126.226616,110.53788,-827.57623,-2.3475897,1.926333,11.957172,-10.399732,-0.042693637,0.5409332,2.1175935,-2.5104768,-0.43213096,0.23589484,0.2775084,-2.0515149,-46.19091110451884,-46.313200630067676,-40.10899622477513,104000,504000,0,1974.9745148639922,47.468266484997,4.012512170986156,2026.4552935199754,50600.56867453801,25
0.0032588406,0.78401667,40.516624,40.556953,28.020664,11.26686,85.61039,-90.7461,140.47223,50.47297,-1112.6456,-85.076416,140.25543,53.568665,-1110.9724,-1.8537257,2.1931956,16.09652,-13.2762375,-0.061360188,0.6315134,2.8574939,-2.7341232,-0.4549647,0.24770766,0.1688815,-1.9761351,-32.1885054985464,-33.44786846780555,-35.99544461982252,108000,508000,0,1968.3474705610133,48.072334871976636,4.26468024996575,2020.6844856829557,52620.204207683986,26
0.14646593,0.80469143,40.033623,40.14282,19.693893,5.0403256,41.341225,-47.26287,156.93542,129.94478,-957.2656,-41.50134,155.15244,132.31517,-948.114,-2.2297637,2.0636878,10.95237,-10.403756,-0.034361582,0.5712071,2.413563,-2.6753585,-0.42826363,0.24116936,0.17083728,-2.1573114,-39.62792877404048,-42.781213397503045,-37.99939608250905,112000,512000,0,1962.984658483998,47.0218713869981,3.559717915049987,2013.566247786046,54631.86015728499,27
0.2021708,0.8025891,42.985542,43.03792,24.696306,6.755338,94.551575,-99.89613,146.21672,113.36398,-1280.5354,-93.8394,144.55219,115.71987,-1268.3239,-1.704869,2.3272839,17.068537,-11.0224905,-0.04737816,0.6467962,2.5708554,-3.0187285,-0.4743708,0.26467422,0.13855329,-2.0762842,-32.41455052323064,-34.97934802988063,-35.30091636600779,116000,516000,0,1969.781480034988,45.11148461498669,4.02002255001571,2018.9129871999903,56648.086040079055,28
0.31333876,0.8118817,45.155933,45.24286,18.832573,5.7354007,91.87362,-98.04989,196.34106,135.35228,-1269.1815,-91.98034,194.37225,136.99799,-1282.1283,-1.8422312,2.3316839,15.464721,-9.428963,-0.029358506,0.63576734,2.8328094,-2.8016105,-0.45719826,0.2590141,0.14741024,-2.28268,-34.19243607539354,-32.963808573395625,-35.47738854828832,120000,520000,0,1971.1507416099776,42.42448484300985,4.009644362056861,2017.5848708150443,58663.38751089909,29
